b
Link Score,Var-Comm Score,Comm-Text Score,Text-Eqn Score,Comment Span,Text Mention,Equation Symbol
0.077,0.077,1.563,, p_max_prod_const expected future production price constant,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
0.077,0.077,1.54,, p_max_prod_const expected future production price constant,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
0.077,0.077,1.537,, p_max_prod_const expected future production price constant,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
0.077,0.077,1.52,, p_max_prod_const expected future production price constant,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",

qx
Link Score,Var-Comm Score,Comm-Text Score,Text-Eqn Score,Comment Span,Text Mention,Equation Symbol
1,1,1.432,, qx quantity sold in global trade,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
1,1,1.432,, qx quantity sold in global trade,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
1,1,1.418,, qx quantity sold in global trade,"['shock (S ¼ D', 'tit y (m m t', 'a < 1']",
1,1,1.418,, qx quantity sold in global trade,"['shock (S ¼ D', 'tit y (m m t', 'a < 1']",
1,1,1.394,, qx quantity sold in global trade,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
1,1,1.394,, qx quantity sold in global trade,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
1,1,1.381,, qx quantity sold in global trade,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
1,1,1.381,, qx quantity sold in global trade,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
1,1,1.373,, qx quantity sold in global trade,"['shock (S ¼ D', 'tit y (m m t', 'a < 1']",
1,1,1.373,, qx quantity sold in global trade,"['shock (S ¼ D', 'tit y (m m t', 'a < 1']",
0.333,0.333,1.568,, b price elasticity of global demand,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
0.333,0.333,1.537,, b price elasticity of global demand,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
0.333,0.333,1.502,, b price elasticity of global demand,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
0.333,0.333,1.5,, b price elasticity of global demand,"['shock (S ¼ D', 'FixCons model FlexCons model (m m t', 'a < 1']",
0.333,0.333,1.495,, b price elasticity of global demand,"['shock (S ¼ D', 'sold (figure 1, right', 'a < 1']",

